timepoint,TrackSOM_metacluster_lineage_tracking,x,y,z,count,countPerDay,proportion
SYN-2,I,38.8160599166667,45.1320596533333,29.85678924,3,7200,0.000416666666666667
SYN-2,J,49.7367332173787,49.8570577862136,50.0923778801942,103,7200,0.0143055555555556
SYN-2,K,42.33825854375,35.9049506225,42.490031236875,16,7200,0.00222222222222222
SYN-2,L,17.9150075,24.76117624,14.06559421,1,7200,0.000138888888888889
SYN-2,M,12.34872386,21.02095846,6.918666795,1,7200,0.000138888888888889
SYN-3,A,27.9508040875047,30.109080809738,29.9009079739149,2023,7200,0.280972222222222
SYN-3,B,10.4234755271598,11.2376059078583,10.6525906447846,3960,7200,0.55
SYN-3,C,43.1629293388889,19.9528938679444,19.9102217083333,18,7200,0.0025
SYN-3,D,9.0361687566455,10.4187342872169,15.5485804012699,189,7200,0.02625
SYN-3,E,14.4813675469048,10.6859978868175,10.8953156618254,126,7200,0.0175
SYN-3,F,16.0297266372959,10.8451783503469,9.68356290466836,196,7200,0.0272222222222222
SYN-3,G,13.9236045434146,10.5902157608293,9.21478130017073,82,7200,0.0113888888888889
SYN-3,H,14.9787075425397,9.25801491376984,9.07604428471429,126,7200,0.0175
SYN-3,A|2,15.9797448000769,32.8579586653846,44.3717165061539,13,7200,0.00180555555555556
SYN-3,B|1,9.45648260825,18.8483755925,35.3610856525,4,7200,0.000555555555555556
SYN-3,C|2,29.2428481442857,10.4423283234286,35.7727218242857,7,7200,0.000972222222222222
SYN-3,C|3,27.561732395,40.686360395,9.3076294045,2,7200,0.000277777777777778
SYN-3,I,36.9515003433333,41.5231040866667,27.3092392966667,3,7200,0.000416666666666667
SYN-3,J,49.8315031780583,49.8941845776699,50.179733256602,103,7200,0.0143055555555556
SYN-3,K,40.8720514558333,33.7645643483333,46.8286627141667,12,7200,0.00166666666666667
SYN-3,M,7.741352898,20.407512725,6.75008479,2,7200,0.000277777777777778
SYN-3,N,13.37666485,31.8083335566667,19.1877430966667,3,7200,0.000416666666666667
SYN-3,O,10.3838488819527,9.76681610346154,17.3610213902959,169,7200,0.0234722222222222
SYN-3,P,17.84853731,13.84836872,22.98272352,1,7200,0.000138888888888889
SYN-3,Q,20.22106395625,11.02926128875,9.37246379225,8,7200,0.00111111111111111
SYN-3,R,8.70115528330953,10.2239857681905,17.7869045909524,42,7200,0.00583333333333333
SYN-3,S,17.7986211463964,9.6482790165045,9.96374460465766,111,7200,0.0154166666666667
SYN-4,A,35.0214105268432,29.9779557684016,30.0469906754645,1001,7100,0.140985915492958
SYN-4,B,10.1125845519678,10.5730225089835,10.467712429546,2795,7100,0.393661971830986
SYN-4,C,39.7829129975,18.666077895,15.70253664,4,7100,0.000563380281690141
SYN-4,D,9.00756332587273,10.4197767839455,15.7276615360909,110,7100,0.0154929577464789
SYN-4,E,14.4736344635088,11.0087959198246,10.8929766228772,57,7100,0.00802816901408451
SYN-4,F,16.193661347193,10.9696630599912,9.69546125650878,114,7100,0.016056338028169
SYN-4,G,13.9132065756522,10.664638053,9.17913922865217,46,7100,0.00647887323943662
SYN-4,H,15.1260029985135,9.33525580632433,8.91370318801351,74,7100,0.0104225352112676
SYN-4,A|2,20.0159496616667,31.403153555,32.5277758366667,6,7100,0.000845070422535211
SYN-4,B|1,6.00253166766667,17.2106666176667,28.8344956933333,3,7100,0.000422535211267606
SYN-4,C|2,32.243246505,11.9465750935,30.62263312,8,7100,0.00112676056338028
SYN-4,C|3,25.7445353526667,25.4710793006667,7.24828826686667,15,7100,0.00211267605633803
SYN-4,I,36.8011278633333,31.2955600466667,32.6626219066667,3,7100,0.000422535211267606
SYN-4,M,9.9204082845342,18.2599772850814,5.48049870265798,307,7100,0.0432394366197183
SYN-4,N,12.3630667,29.5078969,19.23526353,1,7100,0.000140845070422535
SYN-4,O,10.4969871519854,9.63897674483211,17.6310312085402,137,7100,0.0192957746478873
SYN-4,P,21.17145463,12.44728833,19.20916666,1,7100,0.000140845070422535
SYN-4,Q,21.0110651883333,10.600737496,9.33786151491667,12,7100,0.00169014084507042
SYN-4,R,7.98442317714847,10.0726724064891,18.1974290468559,229,7100,0.0322535211267606
SYN-4,S,17.934518234424,8.94742550000922,9.85325147139171,217,7100,0.0305633802816901
SYN-4,A|3,21.0233108908309,29.9728685426326,29.996941167988,999,7100,0.140704225352113
SYN-4,B|2,9.98367465653916,17.6374096627711,9.35921158469579,332,7100,0.0467605633802817
SYN-4,B|3,16.2592742,19.87084867,24.48162551,1,7100,0.000140845070422535
SYN-4,B|4,16.2051856413762,9.10742348774312,10.8041160046514,109,7100,0.0153521126760563
SYN-4,C|4,32.7879311842857,6.59401806571429,19.7896525724286,7,7100,0.000985915492957746
SYN-4,T,4.68173443,9.86636479854868,18.206424835177,226,7100,0.031830985915493
SYN-4,U,22.123955755,21.9876387,20.06962299,2,7100,0.00028169014084507
SYN-4,V,13.96925703,12.9923073066667,16.33926462,3,7100,0.000422535211267606
SYN-4,W,18.1033794474733,5.30823845987545,9.9660981006726,281,7100,0.0395774647887324
